Judul,Penulis,Rating,Jumlah_Voter,Link_Cover,Halaman_Sumber
Jane Eyre,Charlotte Brontë,4.16,2323615,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1557343311i/10210._SY75_.jpg,1
The Great Gatsby,F. Scott Fitzgerald,3.93,5916896,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1738790966i/4671._SY75_.jpg,1
Crime and Punishment,Fyodor Dostoevsky,4.29,1080581,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1382846449i/7144._SY75_.jpg,1
"The Da Vinci Code (Robert Langdon, #2)",Dan    Brown,3.94,2523749,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1720313229i/968._SY75_.jpg,1
Alice’s Adventures in Wonderland / Through the Looking-Glass,Lewis Carroll,4.06,609269,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1630487234i/24213._SX50_.jpg,1
"Divergent (Divergent, #1)",Veronica Roth,4.13,4380386,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1618526890i/13335037._SY75_.jpg,1
Les Misérables,Victor Hugo,4.21,843833,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1411852091i/24280._SY75_.jpg,1
Memoirs of a Geisha,Arthur Golden,4.16,2110413,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1409595968i/929._SY75_.jpg,1
The Alchemist,Paulo Coelho,3.92,3569614,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1483412266i/865._SY75_.jpg,1
"Anne of Green Gables (Anne of Green Gables, #1)",L.M. Montgomery,4.33,1113538,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1615094578i/8127._SY75_.jpg,1
Lord of the Flies,William Golding,3.7,3200618,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327869409i/7624._SY75_.jpg,1
Romeo and Juliet,William Shakespeare,3.74,2822634,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1629680008i/18135._SY75_.jpg,1
Brave New World,Aldous Huxley,3.99,2077198,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1575509280i/5129._SY75_.jpg,1
"The Hitchhiker’s Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",Douglas Adams,4.22,2015919,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1531891848i/11._SY75_.jpg,1
"City of Bones (The Mortal Instruments, #1)",Cassandra Clare,4.07,2168547,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1432730315i/256683._SY75_.jpg,1
The Help,Kathryn Stockett,4.47,3021309,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1622355533i/4667024._SY75_.jpg,1
Dracula,Bram Stoker,4.02,1476222,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1387151694i/17245._SY75_.jpg,1
Fahrenheit 451,Ray Bradbury,3.97,2837347,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1383718290i/13079982._SY75_.jpg,1
Charlotte’s Web,E.B. White,4.21,2046664,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1628267712i/24178._SY75_.jpg,1
1984,George Orwell,4.2,5461630,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1532714506i/40961427._SX50_.jpg,1
Of Mice and Men,John Steinbeck,3.9,2836084,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1511302904i/890._SX50_.jpg,1
"Ender’s Game (Ender's Saga, #1)",Orson Scott Card,4.31,1473684,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1408303130i/375802._SY75_.jpg,1
The Catcher in the Rye,J.D. Salinger,3.8,3893947,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1398034300i/5107._SY75_.jpg,1
"Little Women (Little Women, #1)",Louisa May Alcott,4.17,2460747,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1562690475i/1934._SY75_.jpg,1
One Hundred Years of Solitude,Gabriel García Márquez,4.12,1104897,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327881361i/320._SX50_.jpg,1
A Thousand Splendid Suns,Khaled Hosseini,4.46,1735464,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1655336738i/128029._SY75_.jpg,1
The Outsiders,S.E. Hinton,4.14,1603189,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1442129426i/231804._SY75_.jpg,1
The Secret Garden,Frances Hodgson Burnett,4.17,1296289,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327873635i/2998._SY75_.jpg,1
The Princess Bride,William Goldman,4.27,948010,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327903636i/21787._SY75_.jpg,1
"A Game of Thrones (A Song of Ice and Fire, #1)",George R.R. Martin,4.45,2734424,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1562726234i/13496._SY75_.jpg,1
The Time Traveler's Wife,Audrey Niffenegger,4.0,1857805,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1733519901i/18619684._SX50_.jpg,1
"Harry Potter and the Deathly Hallows (Harry Potter, #7)",J.K. Rowling,4.62,4109517,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1663805647i/136251._SY75_.jpg,1
The Odyssey,Homer,3.83,1192694,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1711957706i/1381._SY75_.jpg,1
Frankenstein: The 1818 Text,Mary Wollstonecraft Shelley,3.91,1888523,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1631088473i/35031085._SY75_.jpg,1
"The Handmaid’s Tale (The Handmaid's Tale, #1)",Margaret Atwood,4.15,2423204,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1578028274i/38447._SY75_.jpg,1
"A Wrinkle in Time (Time Quintet, #1)",Madeleine L'Engle,3.97,1285344,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1507963312i/33574273._SX50_.jpg,1
The Kite Runner,Khaled Hosseini,4.36,3493494,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1579036753i/77203._SY75_.jpg,1
"The Giver (The Giver, #1)",Lois Lowry,4.12,2808112,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1342493368i/3636._SY75_.jpg,1
"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",J.K. Rowling,4.58,4841017,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1630547330i/5._SY75_.jpg,1
"The Girl With the Dragon Tattoo (Millennium, #1)",Stieg Larsson,4.18,3447574,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1684638853i/2429135._SX50_.jpg,1
"Dune (Dune, #1)",Frank Herbert,4.29,1627073,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1555447414i/44767458._SY75_.jpg,1
Where the Wild Things Are,Maurice Sendak,4.26,1063751,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1384434560i/19543._SX50_.jpg,1
Green Eggs and Ham,Dr. Seuss,4.32,847052,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1673212751i/23772._SX50_.jpg,1
The Lovely Bones,Alice Sebold,3.86,2462324,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1457810586i/12232938._SY75_.jpg,1
"The Adventures of Huckleberry Finn (Adventures of Tom and Huck, #2)",Mark Twain,3.83,1337022,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1546096879i/2956._SX50_.jpg,1
Life of Pi,Yann Martel,3.94,1753746,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1631251689i/4214._SY75_.jpg,1
Lolita,Vladimir Nabokov,3.87,945659,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1377756377i/7604._SY75_.jpg,1
A Tale of Two Cities,Charles Dickens,3.88,1012628,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1344922523i/1953._SY75_.jpg,1
Slaughterhouse-Five,Kurt Vonnegut Jr.,4.1,1483284,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1440319389i/4981._SY75_.jpg,1
The Bell Jar,Sylvia Plath,4.05,1221335,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1554582218i/6514._SY75_.jpg,1
Matilda,Roald Dahl,4.33,1109931,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388793265i/39988._SY75_.jpg,1
Water for Elephants,Sara Gruen,4.11,1701001,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1667708346i/43641._SY75_.jpg,1
"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",J.K. Rowling,4.47,11414163,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1598823299i/42844155._SX50_.jpg,1
The Stand,Stephen  King,4.35,835253,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1213131305i/149267._SX50_.jpg,1
Catch-22,Joseph Heller,3.99,886762,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1463157317i/168668._SY75_.jpg,1
"The Adventures of Sherlock Holmes (Sherlock Holmes, #3)",Arthur Conan Doyle,4.3,326382,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1164045516i/3590._SY75_.jpg,1
"The Pillars of the Earth (Kingsbridge, #1)",Ken Follett,4.35,830711,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1576956100i/5043._SY75_.jpg,1
Rebecca,Daphne du Maurier,4.25,720688,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1386605169i/17899948._SX50_.jpg,1
"Watership Down (Watership Down, #1)",Richard  Adams,4.09,505706,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1405136931i/76620._SY75_.jpg,1
The Color Purple,Alice Walker,4.28,752235,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1703084419i/52892857._SY75_.jpg,1
Great Expectations,Charles Dickens,3.8,874052,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1631687432i/2623._SY75_.jpg,1
"Outlander (Outlander, #1)",Diana Gabaldon,4.26,1153644,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1659086907i/10964._SY75_.jpg,1
Anna Karenina,Leo Tolstoy,4.1,931643,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1546091617i/15823480._SX50_.jpg,1
"The Fellowship of the Ring (The Lord of the Rings, #1)",J.R.R. Tolkien,4.41,3150228,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1654215925i/61215351._SY75_.jpg,1
One Flew Over the Cuckoo’s Nest,Ken Kesey,4.2,780028,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1516211014i/332613._SX50_.jpg,1
A Clockwork Orange,Anthony Burgess,4.0,769647,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1549260060i/41817486._SX50_.jpg,1
The Brothers Karamazov,Fyodor Dostoevsky,4.39,386462,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1427728126i/4934._SX50_.jpg,1
My Sister's Keeper,Jodi Picoult,4.11,1275748,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1369504683i/10917._SY75_.jpg,1
To Kill a Mockingbird,Harper Lee,4.26,6885971,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1554368352i/2654._SX50_.jpg,1
A Tree Grows in Brooklyn,Betty  Smith,4.3,512439,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327883484i/14891._SY75_.jpg,1
The Road,Cormac McCarthy,4.0,1036637,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1600241424i/6288._SY75_.jpg,1
The Elephant Tree,R.D. Ronald,3.9,40704,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327248026i/9293020._SY75_.jpg,1
"The Golden Compass (His Dark Materials, #1)",Philip Pullman,4.03,1617852,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1505766203i/119322._SX50_.jpg,1
"Harry Potter and the Goblet of Fire (Harry Potter, #4)",J.K. Rowling,4.57,4193338,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1627044952i/58613424._SY75_.jpg,1
Siddhartha,Hermann Hesse,4.08,877074,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1629378189i/52036._SY75_.jpg,1
"Vampire Academy (Vampire Academy, #1)",Richelle Mead,4.1,680547,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1361098973i/345627._SY75_.jpg,1
And Then There Were None,Agatha Christie,4.27,1615379,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1638425885i/16299._SY75_.jpg,1
Don Quixote,Miguel de Cervantes Saavedra,3.91,305284,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1546112331i/3836._SX50_.jpg,1
"Angela’s Ashes (Frank McCourt, #1)",Frank McCourt,4.15,658541,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348317139i/252577._SY75_.jpg,1
The Old Man and the Sea,Ernest Hemingway,3.81,1312891,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1329189714i/2165._SY75_.jpg,1
The Zombie Room,R.D. Ronald,3.92,40566,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1460547041i/29908754._SY75_.jpg,1
The Poisonwood Bible,Barbara Kingsolver,4.11,793646,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1644073807i/7244._SY75_.jpg,1
The Complete Stories and Poems,Edgar Allan Poe,4.4,296109,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327942676i/23919._SY75_.jpg,2
Gone Girl,Gillian Flynn,4.15,3447333,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1554086139i/19288043._SY75_.jpg,2
"Interview with the Vampire (The Vampire Chronicles, #1)",Anne Rice,4.02,650234,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1380631642i/43763._SY75_.jpg,2
Atlas Shrugged,Ayn Rand,3.69,407000,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1405868167i/662._SY75_.jpg,2
The Girl Who Played with Fire (Millennium #2),Stieg Larsson,4.26,986435,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1351778881i/5060378._SX50_.jpg,2
"Winnie-the-Pooh (Winnie-the-Pooh, #1)",A.A. Milne,4.38,395324,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1298440130i/99107._SY75_.jpg,2
"The Notebook (The Notebook, #1)",Nicholas Sparks,4.16,1842200,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1483183484i/33648131._SY75_.jpg,2
The Stranger,Albert Camus,4.03,1401146,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1738704267i/49552._SY75_.jpg,2
"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",J.K. Rowling,4.47,11414163,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1474154022i/3._SY75_.jpg,2
Fahrenheit 451,Ray Bradbury,3.97,2837347,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1351643740i/4381._SY75_.jpg,2
"The Shining (The Shining, #1)",Stephen  King,4.28,1707094,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1353277730i/11588._SY75_.jpg,2
Dark Places,Gillian Flynn,3.94,838976,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1354988288i/5886881._SY75_.jpg,2
"Moby-Dick or, The Whale",Herman Melville,3.57,615921,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327940656i/153747._SY75_.jpg,2
A Prayer for Owen Meany,John Irving,4.24,337176,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1260470010i/4473._SY75_.jpg,2
Shutter Island,Dennis Lehane,4.14,225671,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1329269081i/21686._SY75_.jpg,2
A Story of Yesterday,Sergio Cobo,4.53,19990,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1630609122i/58913358._SY75_.jpg,2
"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",J.K. Rowling,4.43,4493027,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1474169725i/15881._SY75_.jpg,2
"Clockwork Angel (The Infernal Devices, #1)",Cassandra Clare,4.31,876690,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1693490271i/7171637._SY75_.jpg,2
"The Hobbit, or There and Back Again",J.R.R. Tolkien,4.3,4455513,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1546071216i/5907._SY75_.jpg,2
The Metamorphosis,Franz Kafka,3.9,1427628,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1646444605i/485894._SY75_.jpg,2
It,Stephen  King,4.24,1269436,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1334416842i/830502._SY75_.jpg,2
The Girl on the Train,Paula Hawkins,3.96,3289360,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1748242265i/22557272._SY75_.jpg,2
The Secret Life of Bees,Sue Monk Kidd,4.1,1352819,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1628532099i/37435._SY75_.jpg,2
"The Name of the Wind (The Kingkiller Chronicle, #1)",Patrick Rothfuss,4.52,1082207,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1704917687i/186074._SY75_.jpg,2
The Red Tent,Anita Diamant,4.21,631952,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1405739117i/4989._SY75_.jpg,2
Mystic River,Dennis Lehane,4.18,165411,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1407109549i/21671._SY75_.jpg,2
"Red Dragon (Hannibal Lecter, #1)",Thomas  Harris,4.07,373251,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1593241110i/28877._SY75_.jpg,2
The Master and Margarita,Mikhail Bulgakov,4.28,420456,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327867963i/117833._SY75_.jpg,2
Never Lie,Freida McFadden,4.08,1458969,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1661428846i/62080187._SY75_.jpg,2
Perfume: The Story of a Murderer,Patrick Süskind,4.04,553425,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1409112276i/343._SY75_.jpg,2
Before I Go to Sleep,S.J. Watson,3.9,368213,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1358353512i/9736930._SY75_.jpg,2
None of This Is True,Lisa Jewell,4.08,1096331,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1686092508i/62334530._SY75_.jpg,2
1984,George Orwell,4.2,5461630,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1657781256i/61439040._SX50_.jpg,2
Big Little Lies,Liane Moriarty,4.31,1116105,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1559835163i/33516773._SY75_.jpg,2
The Paris Apartment,Lucy Foley,3.64,716709,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1645550948i/58468990._SY75_.jpg,2
The Count of Monte Cristo,Alexandre Dumas,4.32,1023627,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1724863997i/7126._SY75_.jpg,2
"The Family Upstairs (The Family Upstairs, #1)",Lisa Jewell,3.95,564820,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1564517337i/43822820._SY75_.jpg,2
"The Housemaid's Secret (The Housemaid, #2)",Freida McFadden,4.17,1647147,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1664729357i/62848145._SY75_.jpg,2
Lock Every Door,Riley Sager,3.89,299994,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1540938359i/41837243._SY75_.jpg,2
Fight Club,Chuck Palahniuk,4.18,643120,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1558216416i/36236124._SY75_.jpg,2
"You (You, #1)",Caroline Kepnes,3.96,292422,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1549463282i/36430011._SY75_.jpg,2
The Woman in the Window,A.J. Finn,3.94,886430,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1528225499i/40389527._SY75_.jpg,2
"The Woman in Cabin 10 (Lo Blacklock, #1)",Ruth Ware,3.72,772973,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1465878007i/28187230._SY75_.jpg,2
"The Last Olympian (Percy Jackson and the Olympians, #5)",Rick Riordan,4.55,1147718,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1723393514i/4556058._SY75_.jpg,2
Pretty Girls,Karin Slaughter,4.01,710237,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1432205734i/25574782._SY75_.jpg,2
Home Before Dark,Riley Sager,4.04,313500,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1571683410l/50833559._SX50_SY75_.jpg,2
Eragon (The Inheritance Cycle #1),Christopher Paolini,3.97,1940710,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1366212852i/113436._SX50_.jpg,2
"The Bone Collector (Lincoln Rhyme, #1)",Jeffery Deaver,4.2,195660,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1437538512i/2373._SY75_.jpg,2
The Very Hungry Caterpillar,Eric Carle,4.34,547376,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1603739265i/4948._SX50_.jpg,2
The Only One Left,Riley Sager,4.13,607656,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1668181003i/62703226._SY75_.jpg,2
The Couple Next Door,Shari Lapena,3.8,711551,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1471502242i/28815474._SY75_.jpg,2
Behind Closed Doors,B.A. Paris,3.97,754213,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1458854462i/29437949._SY75_.jpg,2
Final Girls,Riley Sager,3.82,261796,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1496658340i/32796253._SY75_.jpg,2
No Exit,Taylor  Adams,3.98,215482,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1498539883i/35522836._SY75_.jpg,2
"The Last Thing He Told Me (Hannah Hall, #1)",Laura Dave,3.83,1143300,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1603034599i/54981009._SY75_.jpg,2
Looking for Alaska,John Green,3.96,1748713,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1652042180i/99561._SY75_.jpg,2
"The Lion, the Witch and the Wardrobe (Chronicles of Narnia, #1)",C.S. Lewis,4.24,3152721,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1353029077i/100915._SY75_.jpg,2
Then She Was Gone,Lisa Jewell,4.04,993428,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1741291185i/35297426._SY75_.jpg,2
A Flicker in the Dark,Stacy Willingham,3.97,601034,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1621347398i/57693172._SY75_.jpg,2
The Secret History,Donna Tartt,4.15,1028236,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1751820530i/29044._SY75_.jpg,2
"Charlie and the Chocolate Factory (Charlie Bucket, #1)",Roald Dahl,4.17,931002,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1309211401i/6310._SY75_.jpg,2
The Adventures of Tom Sawyer,Mark Twain,3.92,1018749,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1404811979i/24583._SY75_.jpg,2
Middlesex,Jeffrey Eugenides,4.04,663510,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1437029776i/2187._SY75_.jpg,2
"The Shadow of the Wind (The Cemetery of Forgotten Books, #1)",Carlos Ruiz Zafón,4.31,719974,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1628791882i/1232._SY75_.jpg,2
"Six of Crows (Six of Crows, #1)",Leigh Bardugo,4.46,1152513,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1651710803i/23437156._SY75_.jpg,2
The Curious Incident of the Dog in the Night-Time,Mark Haddon,3.89,1597471,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1479863624i/1618._SY75_.jpg,2
"Tuesdays with Morrie: An Old Man, a Young Man, and Life's Greatest Lesson",Mitch Albom,4.21,1201010,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1423763749i/6900._SY75_.jpg,2
