Rank,Universitas,Negara,Score,lat,lon
182Top 0.9%,Iowa State University,USA,79.2,42.0279608,-93.6447375
183Top 0.9%,University of Notre Dame,USA,79.2,41.7045678,-86.2382203
184Top 0.9%,Harbin Institute of Technology,China,79.2,45.741589,126.6255626
185Top 1%,University of Bologna,Italy,79.1,44.4982886,11.354457
186Top 1%,Arizona State University,USA,79.1,33.4213174,-111.9331631
187Top 1%,University of Cologne,Germany,79.1,50.9280446,6.9281305
188Top 1%,Western University,Canada,79.1,43.0054234,-81.274801
189Top 1%,University of Alabama at Birmingham,USA,79.0,33.5016153,-86.8060476
191Top 1%,Shandong University,China,79.0,36.3655394,120.6845859
192Top 1%,University of Lausanne,Switzerland,79.0,46.5225695,6.5809499
193Top 1%,Sichuan University,China,78.9,30.6335392,104.0815556
194Top 1%,Sungkyunkwan University,South Korea,78.9,37.3003187,126.9697911
195Top 1%,University of Calgary,Canada,78.9,51.0750862,-114.1299504
196Top 1%,North Carolina State University,USA,78.9,35.7718497,-78.674087
197Top 1%,Technical University of Denmark,Denmark,78.8,55.7854145,12.5202151
198Top 1%,University of Vienna,Austria,78.8,48.2131469,16.35997
199Top 1%,University of Connecticut,USA,78.8,41.8111114,-72.2483889
200Top 1%,Tongji University,China,78.8,31.2847393,121.4969491
201Top 1%,Stony Brook University,USA,78.7,40.9090809,-73.1205518
202Top 1%,University of Lisbon,Portugal,78.7,38.7525379,-9.1568456
203Top 1%,Central South University,China,78.7,28.1578368,112.9322974
204Top 1%,University of Waterloo,Canada,78.7,43.4701994,-80.5452429
205Top 1%,University of Münster,Germany,78.7,51.9673422,7.5992433
206Top 1.1%,South China University of Technology,China,78.6,23.160342,113.3372426
207Top 1.1%,University of Adelaide,Australia,78.6,-34.9189226,138.6042367
209Top 1.1%,University of Kansas,USA,78.6,38.9535052,-95.263093
210Top 1.1%,Nankai University,China,78.5,39.1034775,117.1621788
211Top 1.1%,Institut national du service public,France,78.5,48.5807956,7.7371809
212Top 1.1%,University of Ottawa,Canada,78.5,45.4225271,-75.6833904
213Top 1.1%,University of Georgia,USA,78.5,33.9404278,-83.373049
214Top 1.1%,RWTH Aachen University,Germany,78.5,50.7791657,6.0689209
215Top 1.1%,Hong Kong University of Science and Technology,China,78.4,22.8916128,113.4790189
216Top 1.1%,Johannes Gutenberg University Mainz,Germany,78.4,49.9920397,8.2371107
217Top 1.1%,Lomonosov Moscow State University,Russia,78.4,55.7011843,37.5276192
218Top 1.1%,Jilin University,China,78.4,43.8206879,125.2711103
220Top 1.1%,Waseda University,Japan,78.3,35.7071758,139.7086041
221Top 1.1%,Université catholique de Louvain,Belgium,78.3,50.8214382,4.3499855
222Top 1.1%,Southeast University,China,78.3,31.8891845,118.815607
224Top 1.1%,"University of Tennessee, Knoxville",USA,78.2,35.9544426,-83.9258929
225Top 1.1%,Georgetown University,USA,78.2,38.9089393,-77.0745796
227Top 1.2%,University of Turin,Italy,78.2,45.051165,7.6811479
228Top 1.2%,KAIST,South Korea,78.2,36.3698812,127.3623793
230Top 1.2%,University of Missouri–Columbia,USA,78.1,38.9364147,-92.329703
231Top 1.2%,Hokkaido University,Japan,78.1,43.0790078,141.3377295
232Top 1.2%,Kiel University,Germany,78.1,54.3458218,10.113073
233Top 1.2%,"Soochow University, China",China,78.1,31.2698123,120.7285302
234Top 1.2%,Université libre de Bruxelles,Belgium,78.0,50.8134719,4.3812357
236Top 1.2%,University of Miami,USA,78.0,25.7172725,-80.2787069
237Top 1.2%,University of Sussex,United Kingdom,78.0,50.8674377,-0.0877259
238Top 1.2%,Charles University in Prague,Czech Republic,78.0,50.0888947,14.4162757
239Top 1.2%,Brandeis University,USA,77.9,42.3665095,-71.2580196
240Top 1.2%,University of Illinois at Chicago,USA,77.9,41.8697203,-87.6704716
241Top 1.2%,University of Cincinnati,USA,77.9,39.1294152,-84.5205018
242Top 1.2%,Karlsruhe Institute of Technology,Germany,77.9,49.1018534,8.4331202
244Top 1.2%,Hong Kong Polytechnic University,China,77.8,22.3026742,114.1775403
245Top 1.2%,King Abdulaziz University,Saudi Arabia,77.8,21.4934147,39.2485449
246Top 1.2%,Kyushu University,Japan,77.8,33.892554,130.8401044
247Top 1.3%,Trinity College Dublin,Ireland,77.8,53.3437061,-6.2544278
248Top 1.3%,University of Leicester,United Kingdom,77.8,52.6087006,-1.114824
249Top 1.3%,Complutense University of Madrid,Spain,77.7,40.4314742,-3.7900439
250Top 1.3%,Yeshiva University,USA,77.7,40.8489807,-73.9298403
251Top 1.3%,City University of Hong Kong,China,77.7,22.3400205,114.1697162
252Top 1.3%,"University of California, Riverside",USA,77.7,33.9642576,-117.3398097
253Top 1.3%,University of Reading,United Kingdom,77.7,51.4404358,-0.9417618
254Top 1.3%,Beihang University,China,77.7,39.9809427,116.3409787
255Top 1.3%,University of Exeter,United Kingdom,77.6,50.1701604,-5.1241802
257Top 1.3%,Paul Sabatier University,France,77.6,43.6466724,0.5773704
258Top 1.3%,Maastricht University,Netherlands,77.6,50.8472117,5.6859518
260Top 1.3%,Colorado State University,USA,77.5,40.5706567,-105.0853995
261Top 1.3%,University of Houston,USA,77.5,29.7207902,-95.3440627
262Top 1.3%,Wake Forest University,USA,77.5,36.133893,-80.2755578
263Top 1.3%,Delft University of Technology,Netherlands,77.5,51.9988274,4.3739604
264Top 1.3%,University of Florence,Italy,77.5,43.8041147,11.2729461
265Top 1.3%,Virginia Commonwealth University,USA,77.4,37.5461247,-77.4540609
266Top 1.3%,Dalian University of Technology,China,77.4,38.8740216,121.5267951
267Top 1.4%,University of Cape Town,South Africa,77.4,-33.9567558,18.4675777
268Top 1.4%,University of Auckland,New Zealand,77.4,-36.8660955,174.7737331
269Top 1.4%,Oregon Health & Science University,USA,77.4,45.4981929,-122.6864957
270Top 1.4%,Virginia Tech,USA,77.4,37.2219268,-80.4272818
271Top 1.4%,University of Genoa,Italy,77.3,44.4148861,8.9266707
273Top 1.4%,Oregon State University,USA,77.3,44.563056,-123.2839234
275Top 1.4%,Leipzig University,Germany,77.3,51.3273963,12.3908893
276Top 1.4%,National Autonomous University of Mexico,Mexico,77.3,19.321597,-99.1849259
278Top 1.4%,National and Kapodistrian University of Athens,Greece,77.2,37.970038,23.7652367
279Top 1.4%,King Abdullah University of Science and Technology,Saudi Arabia,77.2,22.3223754,39.1173835
280Top 1.4%,HEC Paris,France,77.2,48.7584681,2.166346
281Top 1.4%,University of Tsukuba,Japan,77.2,36.1070526,140.1006602
282Top 1.4%,University of Manitoba,Canada,77.1,49.9042395,-97.1617229
283Top 1.4%,University of Lorraine,France,77.1,48.269078,4.0664959
284Top 1.4%,University of East Anglia,United Kingdom,77.1,52.6210623,1.2356187
285Top 1.4%,University of Valencia,Spain,77.1,38.694335,-0.4775731
286Top 1.4%,University of Bergen,Norway,77.1,60.3809342,5.3313021
287Top 1.4%,George Washington University,USA,77.1,38.899865,-77.0474485
288Top 1.5%,University College Dublin,Ireland,77.0,53.3068763,-6.2246251
290Top 1.5%,University of the Witwatersrand,South Africa,77.0,-26.1888766,28.0247912
292Top 1.5%,University of Antwerp,Belgium,77.0,51.1843856,4.4199387
293Top 1.5%,Beijing Institute of Technology,China,77.0,39.9578214,116.3098237
294Top 1.5%,University of Electronic Science and Technology of China,China,76.9,30.7534211,103.9294024
295Top 1.5%,Florida State University,USA,76.9,30.442216,-84.297453
296Top 1.5%,University of Liège,Belgium,76.9,50.6368602,5.5624252
297Top 1.5%,University of Southern Denmark,Denmark,76.9,55.3678532,10.4280534
298Top 1.5%,Hunan University,China,76.9,28.1797236,112.9413209
299Top 1.5%,Laval University,Canada,76.9,46.7811622,-71.2768002
300Top 1.5%,Zhengzhou University,China,76.8,34.8214567,113.5297412
302Top 1.5%,Washington State University,USA,76.8,46.7337716,-117.1498035
303Top 1.5%,"University of Maryland, Baltimore",USA,76.8,39.252377,-76.7089181
304Top 1.5%,Beijing Normal University,China,76.8,39.9597631,116.359724
305Top 1.5%,University at Buffalo,USA,76.8,43.0019863,-78.7859649
306Top 1.5%,"University of California, Santa Cruz",USA,76.8,36.9545787,-122.0534784
307Top 1.5%,University of Aberdeen,United Kingdom,76.7,57.1645248,-2.1018364
308Top 1.6%,University of Delaware,USA,76.7,39.6802837,-75.7530984
309Top 1.6%,University of Porto,Portugal,76.7,41.1784933,-8.5961974
310Top 1.6%,University of Kentucky,USA,76.7,38.0266291,-84.5047222
311Top 1.6%,University of Pavia,Italy,76.7,45.1869266,9.1568768
312Top 1.6%,Hanyang University,South Korea,76.7,37.5557232,127.0436441
313Top 1.6%,University of Lille,France,76.6,50.6464248,3.062278
314Top 1.6%,University of South Florida,USA,76.6,28.0599999,-82.4138362
315Top 1.6%,University of Duisburg-Essen,Germany,76.6,51.4290899,6.800858
316Top 1.6%,Chongqing University,China,76.6,29.5699826,106.4597701
317Top 1.6%,National Yang Ming Chiao Tung University,Taiwan,76.6,24.7867677,120.9972441
318Top 1.6%,Ruhr University Bochum,Germany,76.6,51.4441576,7.2610046
319Top 1.6%,University of Nebraska–Lincoln,USA,76.5,40.8305567,-96.6697373
320Top 1.6%,Wayne State University,USA,76.5,42.3571895,-83.0709436
321Top 1.6%,Shenzhen University,China,76.5,22.5359023,113.9314749
322Top 1.6%,University of New Mexico,USA,76.5,35.0866328,-106.6202094
323Top 1.6%,Northeastern University,USA,76.5,42.3351053,-71.0892579
324Top 1.6%,University of York,United Kingdom,76.5,53.9453903,-1.0314593
325Top 1.6%,Queen's University,Canada,76.5,44.2331009,-76.4914971
326Top 1.6%,China Agricultural University,China,76.4,40.025228,116.2745405
327Top 1.6%,London School of Economics and Political Science,United Kingdom,76.4,51.514605,-0.1164525
330Top 1.7%,Ulm University,Germany,76.4,48.4086307,9.9977021
331Top 1.7%,Northwestern Polytechnical University,China,76.4,34.2469224,108.9106235
332Top 1.7%,École des ponts ParisTech,France,76.4,48.8411282,2.5882677
333Top 1.7%,Curtin University,Australia,76.3,-31.9528874,115.8012751
334Top 1.7%,Lanzhou University,China,76.3,36.0504988,103.8544558
335Top 1.7%,Durham University,United Kingdom,76.3,54.7641282,-1.5863066
336Top 1.7%,University of Granada,Spain,76.3,37.1827211,-3.6056278
337Top 1.7%,University of Technology Sydney,Australia,76.3,-33.8832536,151.2003294
338Top 1.7%,Umeå University,Sweden,76.3,63.8217763,20.3043163
340Top 1.7%,University of Milano-Bicocca,Italy,76.2,45.515245,9.2128363
341Top 1.7%,Lancaster University,United Kingdom,76.2,54.0098429,-2.7875768
342Top 1.7%,Islamic Azad University,Iran,76.2,34.8367247,48.5619786
343Top 1.7%,Southern Methodist University,USA,76.2,32.8418011,-96.7815281
344Top 1.7%,University of Campinas,Brazil,76.2,-27.5950893,-48.6159301
345Top 1.7%,Macquarie University,Australia,76.2,-33.774197,151.1127138
346Top 1.7%,University of Düsseldorf,Germany,76.1,51.2480552,6.7912347
347Top 1.7%,University of the Basque Country,Spain,76.1,43.309277,-2.0106678
348Top 1.7%,Dalhousie University,Canada,76.1,44.6362011,-63.5919961
349Top 1.7%,Versailles Saint-Quentin-en-Yvelines University,France,76.1,48.7821829,2.2172102
350Top 1.8%,Aalto University,Finland,76.1,60.1860789,24.8281018
351Top 1.8%,University of South Carolina - Columbia,USA,76.1,33.9928841,-81.0268676
352Top 1.8%,King Saud University,Saudi Arabia,76.1,24.7248229,46.6233911
353Top 1.8%,Temple University,USA,76.0,39.981188,-75.1562828
354Top 1.8%,Eindhoven University of Technology,Netherlands,76.0,51.4486602,5.4903996
355Top 1.8%,East China Normal University,China,76.0,31.2284923,121.4021139
356Top 1.8%,Aalborg University,Denmark,76.0,57.0159071,9.9753082
357Top 1.8%,Peking Union Medical College,China,76.0,39.9099946,116.4110562
358Top 1.8%,Capital Medical University,China,76.0,39.8633289,116.3469177
359Top 1.8%,University of Science and Technology Beijing,China,76.0,39.9902334,116.3531753
360Top 1.8%,Nantes University,France,76.0,47.2454573,-1.5519856
361Top 1.8%,National Cheng Kung University,Taiwan,75.9,22.999099,120.2162295
362Top 1.8%,University of Belgrade,Serbia,75.9,44.8179654,20.4507765
363Top 1.8%,Ben-Gurion University of the Negev,Israel,75.9,31.2631254,34.8022385
364Top 1.8%,Drexel University,USA,75.9,39.9569305,-75.1899265
365Top 1.8%,Queen's University Belfast,United Kingdom,75.9,54.5842881,-5.9336562
366Top 1.8%,University of St Andrews,United Kingdom,75.9,56.3398554,-2.8117775
367Top 1.8%,Deakin University,Australia,75.9,-37.8475136,145.1149474
368Top 1.8%,Hannover Medical School,Germany,75.8,52.2734144,10.5253983
369Top 1.8%,University of Dundee,United Kingdom,75.8,56.4579676,-2.9821483
370Top 1.9%,Vrije Universiteit Brussel,Belgium,75.8,50.8225529,4.3954915
371Top 1.9%,Simon Fraser University,Canada,75.8,49.2767096,-122.917803
372Top 1.9%,Linköping University,Sweden,75.8,58.3977911,15.5754544
373Top 1.9%,Queensland University of Technology,Australia,75.8,-27.542195,153.0649526
375Top 1.9%,East China University of Science and Technology,China,75.7,31.1450814,121.4195085
376Top 1.9%,Federal University of Rio de Janeiro,Brazil,75.7,-22.862661,-43.2230021
377Top 1.9%,University of Otago,New Zealand,75.7,-45.8649793,170.5146149
378Top 1.9%,Griffith University,Australia,75.7,-27.9633383,153.384692
379Top 1.9%,Kyung Hee University,South Korea,75.7,37.5971213,127.0519867
380Top 1.9%,University of Wollongong,Australia,75.7,-34.4050554,150.8783465
381Top 1.9%,Albert Einstein College of Medicine,USA,75.7,40.8542807,-73.8456159
382Top 1.9%,University of Buenos Aires,Argentina,75.7,-37.3285798,-59.1385728
383Top 1.9%,Jagiellonian University,Poland,75.6,50.0605502,19.9305134
384Top 1.9%,Louisiana State University,USA,75.6,30.4062005,-91.1854129
387Top 1.9%,University of Turku,Finland,75.6,60.4560732,22.2864097
388Top 1.9%,University of Malaya,Malaysia,75.6,3.1257602,101.6558796
389Top 1.9%,University of Marburg,Germany,75.6,46.5592325,15.6432937
390Top 1.9%,Pontifical Catholic University of Chile,Chile,75.5,-33.0277308,-71.5819235
391Top 2%,Pohang University of Science and Technology,South Korea,75.5,36.0180795,129.3208556
392Top 2%,Chalmers University of Technology,Sweden,75.5,57.6897462,11.9765259
393Top 2%,Justus Liebig University Giessen,Germany,75.5,50.5735892,8.6999768
394Top 2%,University of Saskatchewan,Canada,75.5,52.1344194,-106.6277843
395Top 2%,University of Newcastle,Australia,75.5,-32.8950307,151.6978663
396Top 2%,University of Perugia,Italy,75.5,49.2622036,-123.2449904
397Top 2%,University of Tasmania,Australia,75.5,-42.906822,147.3218083
398Top 2%,University Paris-Est Créteil,France,75.4,48.7882159,2.4439219
400Top 2%,Nanjing Medical University,China,75.4,31.985805,118.703046
401Top 2%,University of Innsbruck,Austria,75.4,47.263316,11.3844733
402Top 2%,Pompeu Fabra University,Spain,75.4,41.4043275,2.1937054
403Top 2%,Swedish University of Agricultural Sciences,Sweden,75.4,63.8201574,20.3146663
404Top 2%,University of Victoria,Canada,75.4,48.46206,-123.3114198
405Top 2%,"University of Oklahoma, Norman",USA,75.4,35.1959878,-97.4457083
407Top 2%,Medical University of South Carolina,USA,75.3,32.7902452,-79.9576415
408Top 2%,City College of New York,USA,75.3,40.8181098,-73.950886
409Top 2%,University of Warsaw,Poland,75.3,52.2216394,21.007377
410Top 2%,University of Seville,Spain,75.3,32.7593783,-117.1464173
411Top 2.1%,Shanghai University,China,75.3,31.3159206,121.3880243
412Top 2.1%,Nanjing University of Science and Technology,China,75.3,32.031826,118.8521427
414Top 2.1%,Kyungpook National University,South Korea,75.2,35.8905697,128.6108553
415Top 2.1%,University of Bari,Italy,75.2,41.1094882,16.8816878
416Top 2.1%,University of Regensburg,Germany,75.2,49.0030835,12.0962683
417Top 2.1%,University of Ulsan,South Korea,75.2,35.5737484,129.1897266
418Top 2.1%,Northwest A&F University,China,75.2,34.2617412,108.0641068
419Top 2.1%,Indian Institute of Management Ahmedabad,India,75.2,23.0308597,72.5362748
420Top 2.1%,University of Coimbra,Portugal,75.2,40.1861497,-8.4152502
421Top 2.1%,University of Oregon,USA,75.2,44.0444197,-123.0717603
422Top 2.1%,Beijing University of Chemical Technology,China,75.1,39.9702425,116.4150875
423Top 2.1%,National Tsing Hua University,Taiwan,75.1,24.7916987,120.9924295
424Top 2.1%,São Paulo State University,Brazil,75.1,-23.9710245,-46.3945601
428Top 2.1%,University of Ljubljana,Slovenia,75.1,46.0744053,14.5141463
429Top 2.1%,Aristotle University of Thessaloniki,Greece,75.1,40.6296719,22.9591469
431Top 2.1%,Southern University of Science and Technology,China,75.0,22.603603,113.9968497
432Top 2.2%,Tampere University,Finland,75.0,61.4934627,23.77895
433Top 2.2%,Huazhong Agricultural University,China,75.0,30.4739905,114.348398
434Top 2.2%,Jinan University,China,75.0,22.2518247,113.5291255
435Top 2.2%,University of Texas at Dallas,USA,75.0,32.9875855,-96.749784
436Top 2.2%,Vienna University of Technology,Austria,75.0,48.1985397,16.3698617
437Top 2.2%,University of Twente,Netherlands,75.0,52.2425267,6.8567575
438Top 2.2%,University of Chile,Chile,75.0,-34.1356353,-70.7399853
439Top 2.2%,Wuhan University of Technology,China,74.9,30.608988,114.3514267
440Top 2.2%,University of Clermont Auvergne,France,74.9,45.7603213,3.1124951
441Top 2.2%,Thomas Jefferson University,USA,74.9,39.9489114,-75.1580566
442Top 2.2%,Texas Tech University,USA,74.9,33.5937526,-101.8995955
443Top 2.2%,University of Bath,United Kingdom,74.9,51.3766938,-2.3234206
444Top 2.2%,Pusan National University,South Korea,74.9,35.2343498,129.0784068
445Top 2.2%,Nanjing University of Aeronautics and Astronautics,China,74.9,32.037419,118.8153537
446Top 2.2%,"Northeastern University, China",China,74.9,41.7634632,123.4117577
447Top 2.2%,Chonnam National University,South Korea,74.9,35.1769099,126.9068927
448Top 2.2%,University of Mississippi,USA,74.8,34.3646125,-89.5396349
449Top 2.2%,Kobe University,Japan,74.8,34.663757,135.0291256
450Top 2.2%,Stellenbosch University,South Africa,74.8,-33.9326212,18.8650551
451Top 2.2%,York University,Canada,74.8,43.7743325,-79.5002705
453Top 2.3%,Amherst College,USA,74.8,42.3703768,-72.5160692
454Top 2.3%,Tulane University,USA,74.8,29.9412196,-90.1201009
455Top 2.3%,Xidian University,China,74.8,34.1251589,108.8289653
456Top 2.3%,Vita-Salute San Raffaele University,Italy,74.7,45.506811,9.2651744
457Top 2.3%,University of Trento,Italy,74.7,46.0661807,11.1166177
458Top 2.3%,Stockholm School of Economics,Sweden,74.7,56.9591273,24.1076116
459Top 2.3%,RMIT University,Australia,74.7,-37.6804123,145.0634302
460Top 2.3%,Jiangsu University,China,74.7,32.2030297,119.5096131
461Top 2.3%,University of Oulu,Finland,74.7,65.0593277,25.4673577
462Top 2.3%,Chulalongkorn University,Thailand,74.7,13.7431114,100.5328752
463Top 2.3%,Saint Louis University,USA,74.7,38.635359,-90.231845
464Top 2.3%,Kansas State University,USA,74.7,39.2086412,-96.5884966
465Top 2.3%,Hiroshima University,Japan,74.6,34.4016381,132.7207209
466Top 2.3%,University of Alabama - Tuscaloosa,USA,74.6,33.2120822,-87.5396735
467Top 2.3%,Federal University of Rio Grande do Sul,Brazil,74.6,-30.033315,-51.219944
469Top 2.3%,University of Trieste,Italy,74.6,45.6455635,13.8107684
471Top 2.3%,La Trobe University,Australia,74.6,-37.7170218,145.0439453
472Top 2.3%,Fuzhou University,China,74.6,26.0614068,119.1933416
473Top 2.4%,Syracuse University,USA,74.6,43.0171129,-76.1185536
474Top 2.4%,George Mason University,USA,74.5,38.8313333,-77.3079884
475Top 2.4%,University of Vermont,USA,74.5,44.4737365,-73.1941468
476Top 2.4%,Western Sydney University,Australia,74.5,-34.065433,150.7932545
477Top 2.4%,Medical College of Wisconsin,USA,74.5,43.0438671,-88.0224532
478Top 2.4%,University of KwaZulu-Natal,South Africa,74.5,-29.8678164,30.979684
479Top 2.4%,Florida International University,USA,74.5,25.7553898,-80.3762833
480Top 2.4%,University of Central Florida,USA,74.5,28.599591,-81.1971284
481Top 2.4%,University of Eastern Finland,Finland,74.5,62.6043509,29.7422326
483Top 2.4%,University of Louisville,USA,74.5,38.2133224,-85.7577075
484Top 2.4%,University of Surrey,United Kingdom,74.4,51.2430782,-0.5900545
485Top 2.4%,Ulsan National Institute of Science and Technology,South Korea,74.4,35.5737484,129.1897266
486Top 2.4%,University of Guelph,Canada,74.4,43.5327864,-80.2249974
487Top 2.4%,University of Santiago de Compostela,Spain,74.4,42.8874537,-8.5441381
488Top 2.4%,Lehigh University,USA,74.4,40.6068028,-75.3782488
489Top 2.4%,Antioch College,USA,74.4,39.7981325,-83.8880809
490Top 2.4%,University of Tehran,Iran,74.4,35.704584,51.394761
492Top 2.4%,Southwest University,China,74.4,29.8232372,106.4195884
493Top 2.5%,University of Strathclyde,United Kingdom,74.3,55.8618812,-4.2419566
494Top 2.5%,Indian Institute of Science,India,74.3,13.0222347,77.5671832
495Top 2.5%,James Cook University,Australia,74.3,-19.3289618,146.756645
496Top 2.5%,Novosibirsk State University,Russia,74.3,54.8461252,83.0942166
498Top 2.5%,University of Stuttgart,Germany,74.3,48.7133801,9.212073
499Top 2.5%,Southern Medical University,China,74.3,23.1899352,113.3296269
500Top 2.5%,Okayama University,Japan,74.3,34.6889496,133.9220359
501Top 2.5%,West Virginia University,USA,74.3,39.6348398,-79.9542095
503Top 2.5%,Federal University of Minas Gerais,Brazil,74.2,-19.8731762,-43.9738533
505Top 2.5%,University of Hawaii at Manoa,USA,74.2,21.2982795,-157.8186932
507Top 2.5%,University of Siena,Italy,74.2,40.1997901,-75.2352761
508Top 2.5%,Leibniz University Hannover,Germany,74.2,52.3827497,9.7181212
509Top 2.5%,University of Potsdam,Germany,74.2,52.3889832,13.1176007
510Top 2.5%,Moscow Institute of Physics and Technology,Russia,74.2,55.929035,37.5186681
511Top 2.5%,University of Zaragoza,Spain,74.2,41.6345573,-0.899798
512Top 2.5%,Baylor University,USA,74.1,31.5504341,-97.1102906
514Top 2.6%,"China Medical University, Taiwan",Taiwan,74.1,24.1564156,120.6797558
515Top 2.6%,Jiangnan University,China,74.1,31.4851218,120.2673352
516Top 2.6%,Rush University,USA,74.1,41.8731987,-87.6688613
517Top 2.6%,Eötvös Loránd University,Hungary,74.1,47.4934799,19.0618993
520Top 2.6%,Cairo University,Egypt,74.1,30.026812,31.2059186
521Top 2.6%,Polytechnic University of Valencia,Spain,74.1,38.694335,-0.4775731
522Top 2.6%,École normale supérieure de Lyon,France,74.0,45.7297811,4.8265819
523Top 2.6%,Mayo Clinic College of Medicine and Science,USA,74.0,44.0220738,-92.4654229
525Top 2.6%,University of Tromsø – The Arctic University of Norway,Norway,74.0,69.6819069,18.9724906
527Top 2.6%,University of South Australia,Australia,74.0,-37.8062142,140.766463
528Top 2.6%,University of Zagreb,Croatia,74.0,42.6425285,18.1026638
529Top 2.6%,University of Tartu,Estonia,74.0,58.381014,26.7195598
530Top 2.6%,Flinders University,Australia,74.0,-35.0248752,138.5734181
531Top 2.6%,University of Colorado Denver,USA,74.0,39.7460707,-105.001771
533Top 2.6%,University of Hull,United Kingdom,73.9,53.7732507,-0.3670415
534Top 2.7%,University College Cork,Ireland,73.9,51.8947012,-8.4903105
535Top 2.7%,Georgia State University,USA,73.9,33.7535889,-84.3854209
536Top 2.7%,Boston College,USA,73.9,42.3354481,-71.1682665
537Top 2.7%,Rovira i Virgili University,Spain,73.9,41.1226832,1.2501587
538Top 2.7%,Beijing Jiaotong University,China,73.9,39.9504404,116.336069
539Top 2.7%,Carleton University,Canada,73.9,45.3858581,-75.6950041
540Top 2.7%,University of Oviedo,Spain,73.9,43.3759889,-5.829281
541Top 2.7%,North China Electric Power University,China,73.9,38.8760446,115.4973873
542Top 2.7%,University of Verona,Italy,73.8,43.0238334,-89.5452777
543Top 2.7%,University of Konstanz,Germany,73.8,47.6899569,9.1882624
544Top 2.7%,Institut Agro,France,73.8,48.1132164,-1.7077569
545Top 2.7%,Joint Institute for Nuclear Research,Russia,73.8,56.7569292,37.2179525
546Top 2.7%,Oklahoma State University,USA,73.8,36.1313523,-97.0890651
547Top 2.7%,Ocean University of China,China,73.8,36.1614396,120.4935835
548Top 2.7%,Mahidol University,Thailand,73.8,13.7946521,100.3218583
549Top 2.7%,Scuola Normale Superiore di Pisa,Italy,73.8,43.7196863,10.400398
550Top 2.7%,University of Bremen,Germany,73.8,53.1079646,8.8556646
551Top 2.7%,Qingdao University,China,73.8,36.075973,120.4129071
553Top 2.7%,University of Arkansas - Fayetteville,USA,73.7,36.0970389,-94.1703322
554Top 2.7%,Indian Institute of Technology Bombay,India,73.7,19.1326186,72.9149702
555Top 2.8%,Colorado School of Mines,USA,73.7,39.7386338,-105.2246389
556Top 2.8%,Auburn University,USA,73.7,32.5919528,-85.4959775
557Top 2.8%,University of Pretoria,South Africa,73.7,-25.7543354,28.2308578
558Top 2.8%,Nanjing Normal University,China,73.7,32.1160214,118.9102083
559Top 2.8%,Bar-Ilan University,Israel,73.7,32.0693292,34.8433434
560Top 2.8%,Masaryk University,Czech Republic,73.7,49.2099967,16.5992487
561Top 2.8%,Hefei University of Technology,China,73.7,31.8467475,117.2905389
562Top 2.8%,University of Macau,China,73.7,22.1283648,113.5437784
563Top 2.8%,University of Canterbury,New Zealand,73.6,-43.5240894,172.5803004
564Top 2.8%,Saint Petersburg University,Russia,73.6,59.9406782,30.2964999
565Top 2.8%,Nanchang University,China,73.6,28.6612687,115.7975974
566Top 2.8%,Guangdong University of Technology,China,73.6,23.0417332,113.3873582
567Top 2.8%,Savoie Mont Blanc University,France,73.6,45.559718,5.9124583
568Top 2.8%,Central China Normal University,China,73.6,30.5204122,114.3562864
569Top 2.8%,Medical University of Graz,Austria,73.6,47.0808781,15.4692124
570Top 2.8%,Indian Institute of Technology Madras,India,73.6,12.9941561,80.2366826
571Top 2.8%,Zhejiang University of Technology,China,73.6,30.2310563,120.0364832
572Top 2.8%,Swansea University,United Kingdom,73.6,51.6080596,-3.9773969
573Top 2.8%,Renmin University of China,China,73.5,39.9695397,116.3071291
575Top 2.9%,Bocconi University,Italy,73.5,45.4498836,9.1892636
576Top 2.9%,Clemson University,USA,73.5,34.6686916,-82.8374348
577Top 2.9%,China University of Geosciences (Wuhan),China,73.5,30.5253902,114.3938048
578Top 2.9%,National Technical University of Athens,Greece,73.5,37.9878,23.7317689
579Top 2.9%,Yangzhou University,China,73.5,32.3441707,119.3946419
580Top 2.9%,Tata Institute of Fundamental Research,India,73.5,18.9071237,72.8049637
582Top 2.9%,Federal University of São Paulo,Brazil,73.5,-23.4388198,-46.5374605
583Top 2.9%,University of Aveiro,Portugal,73.5,40.6320293,-8.6597957
584Top 2.9%,Brunel University London,United Kingdom,73.4,51.5326092,-0.4740499
585Top 2.9%,University of Jyväskylä,Finland,73.4,62.2317777,25.735787
586Top 2.9%,Chiba University,Japan,73.4,35.6274364,140.1033825
587Top 2.9%,Swinburne University of Technology,Australia,73.4,-37.8214954,145.0387532
588Top 2.9%,Hitotsubashi University,Japan,73.4,35.6937953,139.4439284
589Top 2.9%,Donghua University,China,73.4,31.206218,121.4105479
590Top 2.9%,Chang Gung University,Taiwan,73.4,25.0338385,121.389774
592Top 2.9%,University of Palermo,Italy,73.4,54.0808542,13.4172247
593Top 2.9%,Osaka Metropolitan University,Japan,73.4,34.5919553,135.5061013
594Top 2.9%,University of Graz,Austria,73.4,47.0582807,15.4602462
595Top 2.9%,University of Minho,Portugal,73.3,41.5599112,-8.3968123
596Top 3%,Southwest Jiaotong University,China,73.3,30.6968576,104.0473356
597Top 3%,Gustave Eiffel University,France,73.3,50.6078918,3.1320651
598Top 3%,San Diego State University,USA,73.3,32.7761529,-117.0733037
